,country,continent,year,life_expectancy,population,gdp_per_capita
0,Japan,Asia,2007-01-01,82.603,127467972,31656.06806
1,"Hong Kong, China",Asia,2007-01-01,82.208,6980412,39724.97867
2,Japan,Asia,2002-01-01,82,127065841,28604.5919
3,Iceland,Europe,2007-01-01,81.757,301931,36180.78919
4,Switzerland,Europe,2007-01-01,81.701,7554661,37506.41907
5,"Hong Kong, China",Asia,2002-01-01,81.495,6762476,30209.01516
6,Australia,Oceania,2007-01-01,81.235,20434176,34435.36744
7,Spain,Europe,2007-01-01,80.941,40448191,28821.0637
8,Sweden,Europe,2007-01-01,80.884,9031088,33859.74835
9,Israel,Asia,2007-01-01,80.745,6426679,25523.2771
10,Japan,Asia,1997-01-01,80.69,125956499,28816.58499
11,France,Europe,2007-01-01,80.657,61083916,30470.0167
12,Canada,Americas,2007-01-01,80.653,33390141,36319.23501
13,Switzerland,Europe,2002-01-01,80.62,7361757,34480.95771
14,Italy,Europe,2007-01-01,80.546,58147733,28569.7197
15,Iceland,Europe,2002-01-01,80.5,288030,31163.20196
16,Australia,Oceania,2002-01-01,80.37,19546792,30687.75473
17,Italy,Europe,2002-01-01,80.24,57926999,27968.09817
18,New Zealand,Oceania,2007-01-01,80.204,4115771,25185.00911
19,Norway,Europe,2007-01-01,80.196,4627926,49357.19017
20,Sweden,Europe,2002-01-01,80.04,8954175,29341.63093
21,"Hong Kong, China",Asia,1997-01-01,80,6495918,28377.63219
22,Singapore,Asia,2007-01-01,79.972,4553009,47143.17964
23,Austria,Europe,2007-01-01,79.829,8199783,36126.4927
24,Spain,Europe,2002-01-01,79.78,40152517,24835.47166
25,Canada,Americas,2002-01-01,79.77,31902268,33328.96507
26,Netherlands,Europe,2007-01-01,79.762,16570613,36797.93332
27,Israel,Asia,2002-01-01,79.696,6029529,21905.59514
28,France,Europe,2002-01-01,79.59,59925035,28926.03234
29,Greece,Europe,2007-01-01,79.483,10706290,27538.41188
30,Belgium,Europe,2007-01-01,79.441,10392226,33692.60508
31,United Kingdom,Europe,2007-01-01,79.425,60776238,33203.26128
32,Germany,Europe,2007-01-01,79.406,82400996,32170.37442
33,Sweden,Europe,1997-01-01,79.39,8897619,25266.59499
34,Switzerland,Europe,1997-01-01,79.37,7193761,32135.32301
35,Japan,Asia,1992-01-01,79.36,124329269,26824.89511
36,Finland,Europe,2007-01-01,79.313,5238460,33207.0844
37,New Zealand,Oceania,2002-01-01,79.11,3908037,23189.80135
38,Norway,Europe,2002-01-01,79.05,4535591,44683.97525
39,Austria,Europe,2002-01-01,78.98,8148312,32417.60769
40,Iceland,Europe,1997-01-01,78.95,271192,28061.09966
41,Ireland,Europe,2007-01-01,78.885,4109086,40675.99635
42,Australia,Oceania,1997-01-01,78.83,18565243,26997.93657
43,Italy,Europe,1997-01-01,78.82,57479469,24675.02446
44,Costa Rica,Americas,2007-01-01,78.782,4133884,9645.06142
45,Iceland,Europe,1992-01-01,78.77,259012,25144.39201
46,Singapore,Asia,2002-01-01,78.77,4197776,36023.1054
47,Spain,Europe,1997-01-01,78.77,39855442,20445.29896
48,Puerto Rico,Americas,2007-01-01,78.746,3942491,19328.70901
49,Germany,Europe,2002-01-01,78.67,82350671,30035.80198
50,Japan,Asia,1987-01-01,78.67,122091325,22375.94189
51,France,Europe,1997-01-01,78.64,58623428,25889.78487
52,"Korea, Rep.",Asia,2007-01-01,78.623,49044790,23348.13973
53,Canada,Americas,1997-01-01,78.61,30305843,28954.92589
54,Chile,Americas,2007-01-01,78.553,16284741,13171.63885
55,Netherlands,Europe,2002-01-01,78.53,16122830,33724.75778
56,United Kingdom,Europe,2002-01-01,78.471,59912431,29478.99919
57,Taiwan,Asia,2007-01-01,78.4,23174294,28718.27684
58,Finland,Europe,2002-01-01,78.37,5193039,28204.59057
59,Denmark,Europe,2007-01-01,78.332,5468120,35278.41874
60,Belgium,Europe,2002-01-01,78.32,10311970,30485.88375
61,Norway,Europe,1997-01-01,78.32,4405672,41283.16433
62,Cuba,Americas,2007-01-01,78.273,11416987,8948.102923
63,Israel,Asia,1997-01-01,78.269,5531387,20896.60924
64,Greece,Europe,2002-01-01,78.256,10603863,22514.2548
65,United States,Americas,2007-01-01,78.242,301139947,42951.65309
66,Sweden,Europe,1992-01-01,78.16,8718867,23880.01683
67,Costa Rica,Americas,2002-01-01,78.123,3834934,7723.447195
68,Portugal,Europe,2007-01-01,78.098,10642836,20509.64777
69,Netherlands,Europe,1997-01-01,78.03,15604464,30246.13063
70,Switzerland,Europe,1992-01-01,78.03,6995447,31871.5303
71,Canada,Americas,1992-01-01,77.95,28523502,26342.88426
72,Slovenia,Europe,2007-01-01,77.926,2009245,25768.25759
73,Greece,Europe,1997-01-01,77.869,10502372,18747.69814
74,Chile,Americas,2002-01-01,77.86,15497046,10778.78385
75,Ireland,Europe,2002-01-01,77.783,3879155,34077.04939
76,Puerto Rico,Americas,2002-01-01,77.778,3859606,18855.60618
77,"Hong Kong, China",Asia,1992-01-01,77.601,5829696,24757.60301
78,Kuwait,Asia,2007-01-01,77.588,2505559,47306.98978
79,Spain,Europe,1992-01-01,77.57,39549438,18603.06452
80,Australia,Oceania,1992-01-01,77.56,17481977,23424.76683
81,New Zealand,Oceania,1997-01-01,77.55,3676187,21050.41377
82,Belgium,Europe,1997-01-01,77.53,10199787,27561.19663
83,Austria,Europe,1997-01-01,77.51,8069876,29095.92066
84,France,Europe,1992-01-01,77.46,57374179,24703.79615
85,Italy,Europe,1992-01-01,77.44,56840847,22013.64486
86,Netherlands,Europe,1992-01-01,77.42,15174244,26790.94961
87,Switzerland,Europe,1987-01-01,77.41,6649942,30281.70459
88,Germany,Europe,1997-01-01,77.34,82011073,27788.88416
89,Norway,Europe,1992-01-01,77.32,4286357,33965.66115
90,United States,Americas,2002-01-01,77.31,287675526,39097.09955
91,Portugal,Europe,2002-01-01,77.29,10433867,19970.90787
92,Costa Rica,Americas,1997-01-01,77.26,3518107,6677.045314
